type,siteid,resourceid
Archaeological Site,AL03515,3278cdc7-46a0-4011-9071-dcff622fbdeb
Archaeological Site,AL03519,4f049ae9-e552-411a-a75f-806ddc04a471
Archaeological Site,AL03520,95984008-2e00-46cc-bc61-48e9005146d9
Archaeological Site,AL04777,66648c4a-5ce6-47a3-8075-8c60fce1ad97
Archaeological Site,AL04792,b8a39b93-14d2-40b8-a889-6f286fff7e04
Archaeological Site,AL04828,a2523b77-7d8d-48a5-8395-a7dbb918b6d3
Archaeological Site,AL05160,bf0e9b4b-3eda-4fd1-81bb-9114de972785
Archaeological Site,AL05161,bdf82c1d-d6e8-4c21-b5ac-689a21034dc9
Archaeological Site,AL05162,78d6075e-9d63-4ded-9c1a-9f8c2b01e73e
Archaeological Site,AL05163,7297c5d0-3615-4dc8-9690-2e7edbc951b5
Archaeological Site,AL05164,748c5b37-754c-494a-bd4d-3979830102bf
Archaeological Site,AL05165,639c5b92-0f4c-4236-b3dc-1c356763755a
Archaeological Site,AL05166,2f15513c-e94d-4fa4-bc56-66d521faec0f
Archaeological Site,AL05167,5ce32a40-5f2d-4081-8d6f-ac58d9e9082a
Archaeological Site,AL05201,09fc287b-f881-4bb7-94d5-4e4326b31a5b
Archaeological Site,AL05202,f75a68fc-2078-43af-bae8-8185f6246108
Archaeological Site,AL05435,a6f6e22d-fb8e-43ed-9d2b-39e8e1cbea4a
Archaeological Site,AL05454,8cb3a3a6-b09e-4fb6-b9f4-683df37ce48f
Archaeological Site,AL05455,5f988d60-fc4e-48c9-b0d6-a3f63756a742
Archaeological Site,AL05510,fbd1cfa9-f7aa-4b32-ad14-908660e8747a
Archaeological Site,AL05577,f4c9a389-2afd-4aa7-a93c-23e33b4ccb97
Archaeological Site,AL05578,9908b28d-0f82-4d94-bcc9-8413c1033f02
Archaeological Site,AL05579,6a33db02-4030-4105-bef6-1bf620c58740
Archaeological Site,AL05580,b58fab34-fd49-4ddf-ba80-d3b254a8c98c
Archaeological Site,AL05581,d097a461-ac6c-431b-a24c-8d0ab3ab92e8
Archaeological Site,AL05582,fa1b7adc-9f1f-4f2c-ab20-a2392b740518
Archaeological Site,AL05583,13aa0bb4-b634-4562-8297-3ef741167706
Archaeological Site,AL05584,d83b2b4f-c119-46ba-ba19-8c287f763f4d
Archaeological Site,AL05585,7fc46a61-ef2d-4672-b943-1ca6573332f6
Archaeological Site,AL05586,bd40ba2c-07eb-4c1b-8f7f-16bb4325b9ab
Archaeological Site,AL05587,2536ce33-bd63-4ed5-9446-a491a3e57b5a
Archaeological Site,AL05588,704aed97-1fda-49c7-a443-7718733a9f09
Archaeological Site,AL05628,dc6a64a6-c041-4188-b483-bee656dbef74
Archaeological Site,AL05629,fdda423f-8849-4acf-9ced-1eee16f186f0
Archaeological Site,AL05637,3209f983-e198-40ca-879d-d986a22af3b5
Archaeological Site,AL05657,e5b9dee6-dde4-4622-8f61-1f7587af4b94
Archaeological Site,AL05664,c59cc9d8-225d-4230-9612-8090fb1204d2
Archaeological Site,AL05685,9a9d9f2c-6b1b-4ec7-8130-fa9b40ae37ab
Archaeological Site,AL05697,e9039f16-9450-4893-9338-cc83be66bc54
Archaeological Site,AL05698,6a669816-2c71-4d32-88a3-fb54be7c055e
Archaeological Site,AL05699,b9d647a3-95b8-4c0f-b60d-59d040321759
Archaeological Site,AL05743,9b56311d-419f-449f-a5bd-794fffa82b16
Archaeological Site,AL05744,ffc39ca8-1a4a-4759-8a81-558bf98a94d5
Archaeological Site,AL05745,9946b5d5-fc16-446b-a955-ba6feb68cc0a
Archaeological Site,BA00015,73fb9955-59fe-4d98-9a88-01e4d5488355
Archaeological Site,BA00037,06d50049-09f0-440b-b6ec-6fc4c7ec350e
Archaeological Site,BA00060,4c375cd1-b31f-4ef9-81c4-39209512ebc9
Archaeological Site,BA00061,f2367ff2-bd24-42c2-a6cc-f5046bc0d829
Archaeological Site,BA00371,3abb47a8-7a80-4d82-bfa0-1e053ce4826c
Archaeological Site,BA00377,da3e9578-cbc0-4088-9ae7-0f37be40885e
Archaeological Site,BA00378,8036595b-8e66-422c-883b-bf6faa809fa0
Archaeological Site,BA00379,5a56f115-3c05-4a6f-bb71-b47b646fdfd2
Archaeological Site,BA00380,cba5e6fe-f36b-45f0-a009-3edcd1a05221
Archaeological Site,BA00381,67b9fcd1-569b-47fb-b2d1-d6e562f15f16
Archaeological Site,BA00382,b38d7661-805d-46fd-8156-37701039ad62
Archaeological Site,BA00383,fea60c9a-c0db-4067-b5aa-6849f1cf316e
Archaeological Site,BA00387,b9082250-c797-4f88-8271-e49429a78682
Archaeological Site,BA00388,591bb40f-a1b9-4563-9187-c6e68d7445a2
Archaeological Site,BA00397,a9a99e42-65bf-4a0e-8d08-60d7024d92c8
Archaeological Site,BA00406,a7af50a6-defe-4eff-b634-a0805b88186a
Archaeological Site,BA00407,d91fd55c-b022-4c23-863d-0b8c5003e9e2
Archaeological Site,BA00418,26e9fb9f-9f3b-4bae-bd11-20672384c5f4
Archaeological Site,BA00420,0617698d-2f3d-450d-8e95-e8a6225e3677
Archaeological Site,BA00569,08081c5e-3359-4c06-bddd-fdccfbb01ab5
Archaeological Site,BF00081,5d3e4ac3-3aed-40b2-8898-d2e6c2ca2b99
Archaeological Site,CI00970,3509c4d8-a71b-4d94-be74-a4a8800048f1
Archaeological Site,CI00971,55a184f0-9da5-44bf-96ed-dd0a696f2b59
Archaeological Site,CI00972,2f008d2d-4c53-4e8c-975b-6f95b2532172
Archaeological Site,BR00121,9e6f5825-2fd3-42d9-a94c-7f5b9dc71566
Archaeological Site,BR00124,e9f4bea2-1f34-4d76-a5be-888e2f800f95
Archaeological Site,BR00125,dc72704a-3d77-4983-82da-d21d03f00c27
Archaeological Site,BR00770,17c67d54-d5e4-4750-9118-70a99833b99d
Archaeological Site,BR01694,a99ab924-6918-44ec-bfc3-1896a381d568
Archaeological Site,BR01780,db37eb5e-ebad-46a9-b3e1-657c9a7aa5a6
Archaeological Site,BR01781,09b81685-b2a8-42aa-9ba7-1c6586c2bbdf
Archaeological Site,BR01782,a55b7086-162c-4ba6-b82f-2a7c9ac121a2
Archaeological Site,BR01783,0bdc4456-9cd1-48b4-9384-77cc9f445bd7
Archaeological Site,BR01813,ad92f7e7-c6b7-46a5-8181-0c1a1bc7f173
Archaeological Site,BR01824,62674176-6447-455d-83c7-81ccb9bd3bfa
Archaeological Site,BR02316,4afc286d-b034-4180-b813-7a4021a7b2ea
Archaeological Site,BY00013,328327a3-010b-4901-b3a1-711cfcdc6e50
Archaeological Site,BY00013B,8b90a255-23b1-420a-a3cc-53d93a6e1750
Archaeological Site,BY00086,56de72b2-d76d-43a9-94e4-4101f745a5f7
Archaeological Site,BY00087,f55c08f6-0f80-47ca-ac91-631ee37a2e4b
Archaeological Site,BY00788,3af00a52-1f23-49bd-91aa-7e12fcbbfd94
Archaeological Site,BY00798,3ead018e-fffd-4d52-96b3-cd0990bf346b
Archaeological Site,BY00877,f8d50e24-dd8f-4f11-a124-af4994f772c9
Archaeological Site,CH00360,290964fd-0866-4ec5-88ee-09f06bdf9f5f
Archaeological Site,CH00361,f53c3b0e-9d2d-4995-9908-495ccff23ed7
Archaeological Site,CH00362,e6403e97-bee8-4863-af8b-28b0785fb32c
Archaeological Site,CH00363,45ead1fe-837b-4858-9ae7-62aebd69f758
Archaeological Site,CH00367,eabe00af-4c55-4ece-a45a-4988058f9858
Archaeological Site,CI00225,c7f81132-b26e-4fbe-a590-3dfd23b40c31
Archaeological Site,CI00226,d6fd518e-2177-427b-bc73-0026ddbbfe30
Archaeological Site,CI01059,bb392fd6-969f-497e-8d87-6d92ae842e7a
Archaeological Site,CI01060,ec344e36-3542-4bae-9a26-527ea04aac5d
Archaeological Site,BY01341,d2c2cfd1-0da9-4dce-a140-3ba4fe07d2d3
Archaeological Site,BY01342,c6f8f9d7-8983-4043-8082-e6dd11ee187c
Archaeological Site,BY01579,159d2066-0796-49b1-9c71-78cb25eb858d
Archaeological Site,CH00009,9f03ff47-5597-47e3-8f77-e3f22d5c610f
Archaeological Site,CH00010,d92ac279-aaf6-4bb7-b4bb-b69a69f38a08
Archaeological Site,CH00016,d3581d34-2b30-4abf-ac03-7c857c358bc2
Archaeological Site,CH00019,4b6aafcb-033d-44a1-9c84-9fca8fad7a86
Archaeological Site,CH00020,4f7014a3-7af1-4fe4-aa3b-652bca7f0324
Archaeological Site,CH00023,508f26fb-2903-4ce1-b32c-e7bb0ac289fa
Archaeological Site,CH00024,34e41af6-d712-4115-899f-7a52d6438d12
Archaeological Site,CH00034,6391b7ea-7607-492f-b508-a033477d25bf
Archaeological Site,CH00038,711f2669-53d4-4c2a-a73d-d6e494faf27c
Archaeological Site,CH00039,d645f798-2948-4229-a8ab-bbe33b965fb9
Archaeological Site,CH00040,fef29af0-3ca2-4e1f-8678-4224421a8e40
Archaeological Site,CH00044,0538369b-ce0d-47a0-8121-418c7f49a0dc
Archaeological Site,CH00045,936813da-ac97-41ab-a189-488254aca82b
Archaeological Site,CH00048,092ef7cb-11a2-42d7-883e-7a6cf249e283
Archaeological Site,CH00049,1d1e1743-b84a-456d-9945-073c2d0600dc
Archaeological Site,CH00051,adbb9574-9f50-4ab4-bf66-5aef9535a5a3
Archaeological Site,CH00058,814d5762-011a-454d-9b8f-02a02564795e
Archaeological Site,CH00060,211cf4e9-21d3-4fe7-9e71-2823a837c8eb
Archaeological Site,CH00069,873d42a0-841f-427c-81a9-8354234db916
Archaeological Site,CH00070,144e09f3-c2d4-47b9-aaaf-bdaf90137757
Archaeological Site,CH00071,9686bb77-0d2f-456b-ac18-020de79f3929
Archaeological Site,CH00072,0c6ad244-c72b-4ec4-bdf5-339925b58aa7
Archaeological Site,CH00087,6936fffb-33d6-4faf-a9af-2c2e654e724f
Archaeological Site,CH00089,51528762-8039-41b8-b171-0d4468f41246
Archaeological Site,CH00091,b43ff365-8542-42df-a5a5-1a851079ce5a
Archaeological Site,CH00092,047a81a3-abd3-4671-9023-36afeeca8f52
Archaeological Site,CH00093,d0a417f7-9ab5-4056-bda8-896a7309999b
