ResourceID,geom,SITEID,SITENAME
23cccde6-b379-44b0-ad96-6ddc4d706cf4,POINT (-85.99035190099994 30.273503429000073),BY01044,"COTTAGE B ""CAT HOUSE"""
8004e28f-3c7b-462d-8eba-6831a16d4ab7,POINT (-85.742194850999965 30.131268614000078),BY01654,Combination Building 2 (Pier Store)
a5ca5872-5562-47dd-8745-d93e7f127188,POINT (-85.742684845999975 30.131388620000052),BY01655,Picnic Shelter 2
8f686271-ade7-40b3-b95c-07987fbd924b,POINT (-85.742904862999978 30.131408622000038),BY01656,Picnic Shelter 3
526650cf-7d7e-4903-a45f-7417b763e8ea,POINT (-82.607767062999983 28.784329977000027),CI00124B,YULEE SUGAR MILL HISTORIC MEMORIAL
ea358356-b6a6-4295-8982-66d355813ffa,POINT (-82.295809884999983 28.751051683000071),CI00264,8355 LEVY LANE
c41e3d43-10c3-4e82-9812-cd8f1a9fd927,POINT (-82.297416880999947 28.74798770700005),CI00304,HANSON HOME
f3447da2-44ab-42ec-902b-3f19d1641ed7,POINT (-82.587502449999988 28.800381574000028),CI00375,HOMOSASSA SPRINGS ATTRACTION
d0bb51b5-30b8-4f67-a10f-c7823db6bcb8,POINT (-82.57696520099995 28.798316143000079),CI01382,8746A W. Halls River Road
0f220f9e-cb12-4a66-921d-9c00e395b5ae,POINT (-82.577125246999969 28.801196042000072),CI01383,Homosassa Springs Wildlife Visitor Centr
ad70512c-414f-47b4-bdd4-15864ca789f4,POINT (-81.961876467999957 29.847925446000033),CL00153,ENTRANCE GATES
2cb9ba56-2531-4fac-9917-8083fcd02997,POINT (-81.961876459999985 29.84757260300006),CL00154,ENTRANCE STATION
8984e550-26b7-4fc7-a7a0-3b0b5d55ae47,POINT (-81.954162235999945 29.820217882000065),CL00155,EQUIPMENT SHED
c2025be3-a6d1-463d-a1ed-047f8e6eb689,POINT (-81.953681560999939 29.820729014000051),CL00156,SHOP
74b423d9-044b-4b4b-8f33-1ca02f40aad1,POINT (-81.953719730999978 29.821274524000046),CL00157,BLACKSMITH'S FORGE
77541ebf-c79f-4a61-bc66-6fb34100a320,POINT (-81.953750251999963 29.821432812000069),CL00158,STORAGE SHED
5d1a3c7d-3297-4461-ae95-560ca827796b,POINT (-81.952338805999943 29.823801729000024),CL00159,CARETAKER'S COTTAGE
c086597a-abf5-44de-8549-597ddcb7db47,POINT (-81.952628692999951 29.823353517000044),CL00160,CARETAKER'S GARAGE
